Yorum,Duygu,Temizlenmis_Yorum,Temizlenmis_Yorum_Stopless,Lemmatize_Yorum
Kalbim taş gibi ama yine de kırılıyor.,üzgün,kalbim taş yine kırılıyor,kalbim taş yine kırılıyor,kalp taş yine kır
Günden güne hayattan soğuyorum.,üzgün,günden güne hayattan soğuyorum,günden güne hayattan soğuyorum,gün gün hayat soğu
Duygularımı sakladıkça daha çok birikiyor.,üzgün,duygularımı sakladıkça birikiyor,duygularımı sakladıkça birikiyor,duygu sakla birik
Ne yaparsam yapayım mutlu olamıyorum.,üzgün,yaparsam yapayım mutlu olamıyorum,yaparsam yapayım mutlu olamıyorum,yap yap mutlu ol
1. Gülümsemeyi unuttum sanki.,üzgün,1 gülümsemeyi unuttum sanki,1 gülümsemeyi unuttum sanki,1 gülümse unut sanki
Hayatın bana vereceği güzel bir şey kalmadı.,umutsuz,hayatın bana vereceği güzel şey kalmadı,hayatın bana vereceği güzel şey kalmadı,hayat ben ver güzel şey kal
Elimden geleni yaptım ama yetmedi.,umutsuz,elimden geleni yaptım yetmedi,elimden geleni yaptım yetmedi,el geleni yap yet
Sürekli aynı döngünün içinde boğuluyorum.,umutsuz,sürekli aynı döngünün içinde boğuluyorum,sürekli aynı döngünün içinde boğuluyorum,sürekli aynı döngü iç boğ
Ruhum çökmüş gibi hissediyorum.,umutsuz,ruhum çökmüş hissediyorum,ruhum çökmüş hissediyorum,ruh çök hisset
Geçmişimden kurtulmak istiyorum ama gelecek de korkutuyor.,umutsuz,geçmişimden kurtulmak istiyorum gelecek korkutuyor,geçmişimden kurtulmak istiyorum gelecek korkutuyor,geçmiş kurtul iste gel korkut
Gülmekten vazgeçeli uzun zaman oldu.,umutsuz,gülmekten vazgeçeli uzun zaman oldu,gülmekten vazgeçeli uzun zaman oldu,gül vazgeç uzun zaman ol
Her geçen gün daha çok tükeniyorum.,umutsuz,geçen gün tükeniyorum,geçen gün tükeniyorum,geçen gün tüken
Umudun yıkılışı çok daha acı veriyor.,umutsuz,umudun yıkılışı acı veriyor,umudun yıkılışı acı veriyor,umut yık acı ver
Bir şeyleri değiştirmek için gücüm kalmadı.,umutsuz,şeyleri değiştirmek gücüm kalmadı,şeyleri değiştirmek gücüm kalmadı,şey değiş güç kal
Kendi kendime tutunmaya çalışmaktan yoruldum.,umutsuz,kendi kendime tutunmaya çalışmaktan yoruldum,kendi kendime tutunmaya çalışmaktan yoruldum,kendi kendi tutun çalış yor
Gülümsemek bile yorgunluk veriyor.,umutsuz,gülümsemek bile yorgunluk veriyor,gülümsemek yorgunluk veriyor,gülümse bile yorgun ver
"Herkes mutlu gibi, sadece ben yapamıyorum.",umutsuz,herkes mutlu sadece yapamıyorum,mutlu sadece yapamıyorum,herkes mutlu sadece yap
"Kimse yardım etmiyor, zaten kimse umursamıyor.",umutsuz,kimse yardım etmiyor zaten kimse umursamıyor,yardım etmiyor zaten umursamıyor,kimse yardım et zaten kimse umursa
Güzel şeylerin sadece başkalarına olduğunu düşünüyorum.,umutsuz,güzel şeylerin sadece başkalarına olduğunu düşünüyorum,güzel şeylerin sadece başkalarına olduğunu düşünüyorum,güzel şey sadece başka ol düşün
Artık umutlanmaktan korkuyorum.,umutsuz,artık umutlanmaktan korkuyorum,umutlanmaktan korkuyorum,artık umut kork
"Sevmek, umut etmek, beklemek... hepsi yorucu geldi artık.",umutsuz,sevmek umut etmek beklemek hepsi yorucu geldi artık,sevmek umut etmek beklemek hepsi yorucu geldi,sev umut et bekle hepsi yor gel artık
Hayatımı yeniden kurabilecek enerjiye sahip değilim.,umutsuz,hayatımı yeniden kurabilecek enerjiye sahip değilim,hayatımı yeniden kurabilecek enerjiye sahip değilim,hayat yeniden kur enerji sahip değil
Ne yaparsam yapayım olmuyor.,umutsuz,yaparsam yapayım olmuyor,yaparsam yapayım olmuyor,yap yap ol
Her sabah uyanmak bir ceza gibi geliyor.,umutsuz,sabah uyanmak ceza geliyor,sabah uyanmak ceza geliyor,sabah uyan ceza gel
"Her şey fazlasıyla fazla, her şeyin yükü üstümde.",umutsuz,şey fazlasıyla fazla şeyin yükü üstümde,şey fazlasıyla fazla şeyin yükü üstümde,şey fazlasıyla fazla şey yük üst
Artık hayal kurmayı bıraktım.,umutsuz,artık hayal kurmayı bıraktım,hayal kurmayı bıraktım,artık hayal kur bırak
Zaman geçiyor ama ben geçmişte takılı kaldım.,umutsuz,zaman geçiyor geçmişte takılı kaldım,zaman geçiyor geçmişte takılı kaldım,zaman geç geçmiş takı kal
İçimde hiçbir şeyin iyi olacağına dair his kalmadı.,umutsuz,i̇çimde hiçbir şeyin iyi olacağına dair his kalmadı,i̇çimde hiçbir şeyin iyi olacağına dair his kalmadı,UNK hiçbir şey iyi ol dair his kal
Hayat bana karşı sanki özel olarak acımasız.,umutsuz,hayat bana karşı sanki özel olarak acımasız,hayat bana karşı sanki özel olarak acımasız,hayat ben karşı sanki özel ol acımasız
İnsanlar konuşuyor ama hiçbir şey değişmiyor.,umutsuz,i̇nsanlar konuşuyor hiçbir şey değişmiyor,i̇nsanlar konuşuyor hiçbir şey değişmiyor,UNK konuş hiçbir şey değiş
"Kaybolmuş hissediyorum, yönümü bilmiyorum.",umutsuz,kaybolmuş hissediyorum yönümü bilmiyorum,kaybolmuş hissediyorum yönümü bilmiyorum,kaybol hisset yön bil
Kendimi boşlukta hissediyorum.,umutsuz,kendimi boşlukta hissediyorum,kendimi boşlukta hissediyorum,kendi boşluk hisset
Bazen hiç uyanmasam daha iyi olur gibi geliyor.,umutsuz,bazen uyanmasam iyi olur geliyor,bazen uyanmasam iyi olur geliyor,bazen uyan iyi ol gel
"Nereye gitsem aynı his, hiçbir yere ait değilim.",umutsuz,nereye gitsem aynı his hiçbir yere ait değilim,nereye gitsem aynı his hiçbir yere ait değilim,nere git aynı his hiçbir yer ait değil
Sevdiklerim bile uzaklaşıyor artık.,umutsuz,sevdiklerim bile uzaklaşıyor artık,sevdiklerim uzaklaşıyor,sev bile uzak artık
Umutsuzluk yavaş yavaş beni ele geçiriyor.,umutsuz,umutsuzluk yavaş yavaş beni ele geçiriyor,umutsuzluk yavaş yavaş beni ele geçiriyor,umut yavaş yavaş ben el geçir
"Kendimi yok sayıyorum, çünkü kimse varlığımı fark etmiyor.",umutsuz,kendimi yok sayıyorum kimse varlığımı fark etmiyor,kendimi yok sayıyorum varlığımı fark etmiyor,kendi yok say kimse varlık fark et
"Herkes yolunu buldu, ben yerimde sayıyorum.",umutsuz,herkes yolunu buldu yerimde sayıyorum,yolunu buldu yerimde sayıyorum,herkes yol bul yer say
Hiçbir yere ait hissetmemek çok yorucu.,umutsuz,hiçbir yere ait hissetmemek yorucu,hiçbir yere ait hissetmemek yorucu,hiçbir yer ait hisset yor
Bir gün bile rahat nefes alamadım.,umutsuz,gün bile rahat nefes alamadım,gün rahat nefes alamadım,gün bile rahat nefes al
Çaba harcamak anlamsız geliyor.,umutsuz,çaba harcamak anlamsız geliyor,çaba harcamak anlamsız geliyor,çaba harca anlam gel
Her şey üzerine kurulu ama hepsi çöküyor.,umutsuz,şey üzerine kurulu hepsi çöküyor,şey üzerine kurulu hepsi çöküyor,şey üzeri kurulu hepsi çök
"İçim bomboş, hayata dair bir şey kalmamış.",umutsuz,i̇çim bomboş hayata dair şey kalmamış,i̇çim bomboş hayata dair şey kalmamış,UNK bomboş hayat dair şey kal
Gelecek planı yapmak bana imkânsız geliyor.,umutsuz,gelecek planı yapmak bana imkânsız geliyor,gelecek planı yapmak bana imkânsız geliyor,gel plan yap ben imkan gel
"Her şey yokuş aşağı gidiyor, durduramıyorum.",umutsuz,şey yokuş aşağı gidiyor durduramıyorum,şey yokuş aşağı gidiyor durduramıyorum,şey yokuş aşağı git dur
Hiçbir çaba sonuç vermiyor.,umutsuz,hiçbir çaba sonuç vermiyor,hiçbir çaba sonuç vermiyor,hiçbir çaba sonuç ver
Bir şeye başlayacak enerjim yok.,umutsuz,şeye başlayacak enerjim yok,şeye başlayacak enerjim yok,şey başla enerji yok
Sanki hiç kimse beni duymuyor.,umutsuz,sanki kimse beni duymuyor,sanki beni duymuyor,sanki kimse ben duy
Kimseye anlatacak halim kalmadı.,umutsuz,kimseye anlatacak halim kalmadı,kimseye anlatacak halim kalmadı,kimse anla hal kal
Sadece var oluyorum ama yaşamıyorum.,umutsuz,sadece var oluyorum yaşamıyorum,sadece var oluyorum yaşamıyorum,sadece var ol yaşa
"Umutlarım tükendi, hayallerim soldu.",umutsuz,umutlarım tükendi hayallerim soldu,umutlarım tükendi hayallerim soldu,umut tüken hayal sol
Kendime güvenim tamamen gitti.,umutsuz,kendime güvenim tamamen gitti,kendime güvenim tamamen gitti,kendi güven tamamen git
En son ne zaman mutlu hissettim hatırlamıyorum.,umutsuz,son zaman mutlu hissettim hatırlamıyorum,son zaman mutlu hissettim hatırlamıyorum,son zaman mutlu hisset hatırla
"Kaybettiklerim geri gelmeyecek, bunu kabullenmek çok zor.",umutsuz,kaybettiklerim geri gelmeyecek bunu kabullenmek zor,kaybettiklerim geri gelmeyecek bunu kabullenmek zor,kaybet geri gel bu kabullen zor
Gözümde her şey değersizleşti.,umutsuz,gözümde şey değersizleşti,gözümde şey değersizleşti,göz şey değer
Çabalamaya değmeyeceğini öğrendim artık.,umutsuz,çabalamaya değmeyeceğini öğrendim artık,çabalamaya değmeyeceğini öğrendim,çabala değ öğren artık
Kalabalıklar içinde yalnız olmak ne acı.,umutsuz,kalabalıklar içinde yalnız olmak acı,kalabalıklar içinde yalnız olmak acı,kalabalık iç yalnız ol acı
"İnsanlara umut vermek zorunda değilim, kendime bile veremiyorum.",umutsuz,i̇nsanlara umut vermek zorunda değilim kendime bile veremiyorum,i̇nsanlara umut vermek zorunda değilim kendime veremiyorum,UNK umut ver zor değil kendi bile ver
Kendime bile inancım kalmadı.,umutsuz,kendime bile inancım kalmadı,kendime inancım kalmadı,kendi bile inanç kal
Gittiğim her yol çıkmaz sokak.,umutsuz,gittiğim yol çıkmaz sokak,gittiğim yol çıkmaz sokak,git yol çıkmaz sokak
İçimdeki ses bile artık susmuş gibi.,umutsuz,i̇çimdeki ses bile artık susmuş,i̇çimdeki ses susmuş,UNK ses bile artık sus
Güzel şeyler bana uğramıyor.,umutsuz,güzel şeyler bana uğramıyor,güzel şeyler bana uğramıyor,güzel şey ben uğra
Ne kadar uğraşırsam uğraşayım olmuyor.,umutsuz,uğraşırsam uğraşayım olmuyor,uğraşırsam uğraşayım olmuyor,uğraş uğraş ol
Her şey ters giderken güçlü kalmak mümkün değil.,umutsuz,şey ters giderken güçlü kalmak mümkün değil,şey ters giderken güçlü kalmak mümkün değil,şey ters gider güç kal mümkün değil
İçimde kırık dökük bir enkaz var.,umutsuz,i̇çimde kırık dökük enkaz var,i̇çimde kırık dökük enkaz var,UNK kırık dökük enkaz var
Günler geçiyor ama ben ilerleyemiyorum.,umutsuz,günler geçiyor ilerleyemiyorum,günler geçiyor ilerleyemiyorum,gün geç ilerle
Yaşamak sadece sabretmek oldu.,umutsuz,yaşamak sadece sabretmek oldu,yaşamak sadece sabretmek oldu,yaşa sadece sabret ol
Kırıldıkça tamir etmeye çalışmak ne kadar mantıklı?,umutsuz,kırıldıkça tamir etmeye çalışmak mantıklı,kırıldıkça tamir etmeye çalışmak mantıklı,kır tamir et çalış mantık
Biri beni sarsıp “geçecek” dese bile inanmam.,umutsuz,biri beni sarsıp geçecek dese bile inanmam,biri beni sarsıp geçecek dese inanmam,biri ben sars geç de bile inan
Yaşamak artık sadece bir alışkanlık.,umutsuz,yaşamak artık sadece alışkanlık,yaşamak sadece alışkanlık,yaşa artık sadece alışkan
Her şey için çok geç olduğunu düşünüyorum.,umutsuz,şey geç olduğunu düşünüyorum,şey geç olduğunu düşünüyorum,şey geç ol düşün
İçimdeki karanlık hiç aydınlanmıyor.,umutsuz,i̇çimdeki karanlık aydınlanmıyor,i̇çimdeki karanlık aydınlanmıyor,UNK karanlık aydınlan
Güven kaybı en çok beni yıktı.,umutsuz,güven kaybı beni yıktı,güven kaybı beni yıktı,güven kayıp ben yık
Beni hayatta tutan hiçbir şey kalmadı gibi.,umutsuz,beni hayatta tutan hiçbir şey kalmadı,beni hayatta tutan hiçbir şey kalmadı,ben hayat tut hiçbir şey kal
Ne bir hayalim kaldı ne de bir hedefim.,umutsuz,hayalim kaldı hedefim,hayalim kaldı hedefim,hayal kal hedef
Kendi hayatımda bile misafirim gibi hissediyorum.,umutsuz,kendi hayatımda bile misafirim hissediyorum,kendi hayatımda misafirim hissediyorum,kendi hayat bile misafir hisset
Sanki tüm dünya sırtıma binmiş gibi.,umutsuz,sanki tüm dünya sırtıma binmiş,sanki tüm dünya sırtıma binmiş,sanki tüm dünya sırt bin
Sürekli geri düşmekten bıktım.,umutsuz,sürekli geri düşmekten bıktım,sürekli geri düşmekten bıktım,sürekli geri düş bık
"Sesimi kimse duymuyor, çünkü bağıracak hâlim yok.",umutsuz,sesimi kimse duymuyor bağıracak hâlim yok,sesimi duymuyor bağıracak hâlim yok,ses kimse duy bağır hal yok
Ne zaman bir şey yoluna girse hemen bozuluyor.,umutsuz,zaman şey yoluna girse hemen bozuluyor,zaman şey yoluna girse hemen bozuluyor,zaman şey yol gir hemen boz
Aynaya baktığımda tanıyamadığım biri var.,umutsuz,aynaya baktığımda tanıyamadığım biri var,aynaya baktığımda tanıyamadığım biri var,ayna bak tanı biri var
"Herkes hayata devam ediyor, ben hâlâ başa dönüyorum.",umutsuz,herkes hayata devam ediyor hâlâ başa dönüyorum,hayata devam ediyor hâlâ başa dönüyorum,herkes hayat devam et hala baş dön
İstediğim şeylerin bana uzaklığı beni kahrediyor.,umutsuz,i̇stediğim şeylerin bana uzaklığı beni kahrediyor,i̇stediğim şeylerin bana uzaklığı beni kahrediyor,UNK şey ben uzak ben kahret
Hiçbir şey beni mutlu etmiyor.,umutsuz,hiçbir şey beni mutlu etmiyor,hiçbir şey beni mutlu etmiyor,hiçbir şey ben mutlu et
"Sabretmenin bile bir sonu varmış, öğrendim.",umutsuz,sabretmenin bile sonu varmış öğrendim,sabretmenin sonu varmış öğrendim,sabret bile son var öğren
"Hayatımda ışık yok, hep karanlık.",umutsuz,hayatımda ışık yok hep karanlık,hayatımda ışık yok karanlık,hayat ışık yok hep karanlık
Tükenmişlik hissi her geçen gün daha da büyüyor.,umutsuz,tükenmişlik hissi geçen gün büyüyor,tükenmişlik hissi geçen gün büyüyor,tüken hissi geçen gün büyü
İnsanlara güvenmekten vazgeçtim.,umutsuz,i̇nsanlara güvenmekten vazgeçtim,i̇nsanlara güvenmekten vazgeçtim,UNK güven vazgeç
İçimdekileri anlatamamak beni daha da boğuyor.,umutsuz,i̇çimdekileri anlatamamak beni boğuyor,i̇çimdekileri anlatamamak beni boğuyor,UNK anla ben boğ
"Hep yarım kalıyorum, tamamlanamıyorum.",umutsuz,hep yarım kalıyorum tamamlanamıyorum,yarım kalıyorum tamamlanamıyorum,hep yarım kal tamamla
Her adımda biraz daha geri çekiliyorum.,umutsuz,adımda biraz geri çekiliyorum,adımda biraz geri çekiliyorum,adım biraz geri çek
"Yorgun değilim, bitmiş gibiyim.",umutsuz,yorgun değilim bitmiş gibiyim,yorgun değilim bitmiş gibiyim,yorgun değil bit gibi
Beklentisiz yaşamak daha kolay ama çok acı.,umutsuz,beklentisiz yaşamak kolay acı,beklentisiz yaşamak kolay acı,beklenti yaşa kolay acı
Bu umutsuzluk beni yavaş yavaş yok ediyor.,umutsuz,umutsuzluk beni yavaş yavaş yok ediyor,umutsuzluk beni yavaş yavaş yok ediyor,umut ben yavaş yavaş yok et
Hiçbir şeyin düzeleceğine inancım kalmadı. Her sabah gözümü açtığımda bir yükle uyanıyorum.,umutsuz,hiçbir şeyin düzeleceğine inancım kalmadı sabah gözümü açtığımda yükle uyanıyorum,hiçbir şeyin düzeleceğine inancım kalmadı sabah gözümü açtığımda yükle uyanıyorum,hiçbir şey düzel inanç kal sabah göz aç yük uyan
Gelecek kelimesi bile kulağa boş geliyor artık. Umut kelimesiyle aram açıldı.,umutsuz,gelecek kelimesi bile kulağa boş geliyor artık umut kelimesiyle aram açıldı,gelecek kelimesi kulağa boş geliyor umut kelimesiyle aram açıldı,gel kelime bile kulak boş gel artık umut kelime ara aç
Yıllardır çabalıyorum ama hâlâ aynı yerdeyim. Artık bir anlamı kalmadı.,umutsuz,yıllardır çabalıyorum hâlâ aynı yerdeyim artık anlamı kalmadı,yıllardır çabalıyorum hâlâ aynı yerdeyim anlamı kalmadı,yıl çabala hala aynı yer artık anlam kal
"Bazen, hiçbir şey yapmadan saatlerce tavana bakıyorum. İçimde en ufak bir kıpırtı bile yok.",umutsuz,bazen hiçbir şey yapmadan saatlerce tavana bakıyorum i̇çimde ufak kıpırtı bile yok,bazen hiçbir şey yapmadan saatlerce tavana bakıyorum i̇çimde ufak kıpırtı yok,bazen hiçbir şey yap saat tavan bak UNK ufak kıpırtı bile yok
"Kendimi sanki boşlukta düşüyormuş gibi hissediyorum, tutunacak hiçbir şey yok.",umutsuz,kendimi sanki boşlukta düşüyormuş hissediyorum tutunacak hiçbir şey yok,kendimi sanki boşlukta düşüyormuş hissediyorum tutunacak hiçbir şey yok,kendi sanki boşluk düş hisset tutun hiçbir şey yok
"Kendimi bu dünyanın fazlası gibi hissediyorum. Sanki herkes bir rol oynuyor, ben sahnenin dışında kalmışım.",umutsuz,kendimi dünyanın fazlası hissediyorum sanki herkes rol oynuyor sahnenin dışında kalmışım,kendimi dünyanın fazlası hissediyorum sanki rol oynuyor sahnenin dışında kalmışım,kendi dünya fazla hisset sanki herkes rol oyna sahne dış kal
"Hayat sadece geçip gidiyor, ben ise sadece izliyorum. Ne hissettiğim bile belli değil artık.",umutsuz,hayat sadece geçip gidiyor sadece izliyorum hissettiğim bile belli değil artık,hayat sadece geçip gidiyor sadece izliyorum hissettiğim belli değil,hayat sadece geç git sadece izle hisset bile belli değil artık
"Sadece bir gün huzurlu uyanmak istiyorum. Savaşmadan, yorulmadan, ağlamadan.",umutsuz,sadece gün huzurlu uyanmak istiyorum savaşmadan yorulmadan ağlamadan,sadece gün huzurlu uyanmak istiyorum savaşmadan yorulmadan ağlamadan,sadece gün huzur uyan iste savaş yor ağla
İnsanlar bana güçlü olduğumu söylüyor ama ben her gün içimde yavaş yavaş yok oluyorum.,umutsuz,i̇nsanlar bana güçlü olduğumu söylüyor gün içimde yavaş yavaş yok oluyorum,i̇nsanlar bana güçlü olduğumu söylüyor gün içimde yavaş yavaş yok oluyorum,UNK ben güç ol söyle gün içim yavaş yavaş yok ol
"Ne kadar çabalasam da hiçbir şey değişmiyor. Belki de sorun bende, bilmiyorum artık.",umutsuz,çabalasam hiçbir şey değişmiyor belki sorun bende bilmiyorum artık,çabalasam hiçbir şey değişmiyor belki sorun bende bilmiyorum,çabala hiçbir şey değiş belki sorun ben bil artık
Artık gülümsemek bile yorucu geliyor. Sanki her şey sadece rol yapmaktan ibaret.,umutsuz,artık gülümsemek bile yorucu geliyor sanki şey sadece rol yapmaktan ibaret,gülümsemek yorucu geliyor sanki şey sadece rol yapmaktan ibaret,artık gülümse bile yor gel sanki şey sadece rol yap ibaret
Sebepsiz bir huzursuzluk içimi kemiriyor.,huzursuz,sebepsiz huzursuzluk içimi kemiriyor,sebepsiz huzursuzluk içimi kemiriyor,sebep huzur iç kemir
Her an kötü bir haber alacakmışım gibi hissediyorum.,huzursuz,an kötü haber alacakmışım hissediyorum,an kötü haber alacakmışım hissediyorum,an kötü haber al hisset
Gün boyu hiçbir şey yapmasam da içim daralıyor.,huzursuz,gün boyu hiçbir şey yapmasam içim daralıyor,gün boyu hiçbir şey yapmasam içim daralıyor,gün boy hiçbir şey yap içim daral
Midemde sürekli bir sıkışma hissi var.,huzursuz,midemde sürekli sıkışma hissi var,midemde sürekli sıkışma hissi var,mide sürekli sıkış hissi var
Bir şey olacakmış gibi tedirgin hissediyorum.,huzursuz,şey olacakmış tedirgin hissediyorum,şey olacakmış tedirgin hissediyorum,şey ol tedirgin hisset
Olaylara normal tepki veremiyorum.,huzursuz,olaylara normal tepki veremiyorum,olaylara normal tepki veremiyorum,olay normal tepki ver
Kalbim hızlı atıyor ama nedenini bilmiyorum.,huzursuz,kalbim hızlı atıyor nedenini bilmiyorum,kalbim hızlı atıyor nedenini bilmiyorum,kalp hız at neden bil
"Aşırı duyarlıyım, her şey batıyor.",huzursuz,aşırı duyarlıyım şey batıyor,aşırı duyarlıyım şey batıyor,aşırı duyarlı şey bat
İçimde sürekli bir gerginlik var.,huzursuz,i̇çimde sürekli gerginlik var,i̇çimde sürekli gerginlik var,UNK sürekli gergin var
İçime sinmeyen bir şeyler var ama ne olduğunu bilmiyorum.,huzursuz,i̇çime sinmeyen şeyler var olduğunu bilmiyorum,i̇çime sinmeyen şeyler var olduğunu bilmiyorum,UNK sin şey var ol bil
Etrafımdaki sesler bile beni rahatsız ediyor.,huzursuz,etrafımdaki sesler bile beni rahatsız ediyor,etrafımdaki sesler beni rahatsız ediyor,etraf ses bile ben rahat et
Küçük kararlar bile beni strese sokuyor.,huzursuz,küçük kararlar bile beni strese sokuyor,küçük kararlar beni strese sokuyor,küçük karar bile ben stres sok
Her an kötü bir şey olacakmış gibi bekliyorum.,huzursuz,an kötü şey olacakmış bekliyorum,an kötü şey olacakmış bekliyorum,an kötü şey ol bekle
Odanın havası bile boğucu geliyor.,huzursuz,odanın havası bile boğucu geliyor,odanın havası boğucu geliyor,oda hava bile boğ gel
Uyurken bile rahat hissedemiyorum.,huzursuz,uyurken bile rahat hissedemiyorum,uyurken rahat hissedemiyorum,uyu bile rahat hisset
Kendimi sürekli takip ediliyormuş gibi hissediyorum.,huzursuz,kendimi sürekli takip ediliyormuş hissediyorum,kendimi sürekli takip ediliyormuş hissediyorum,kendi sürekli takip et hisset
Oturduğum yerde bile içimde bir huzursuzluk var.,huzursuz,oturduğum yerde bile içimde huzursuzluk var,oturduğum yerde içimde huzursuzluk var,otur yer bile içim huzur var
Etrafımdaki düzen bile içimi sıkıyor.,huzursuz,etrafımdaki düzen bile içimi sıkıyor,etrafımdaki düzen içimi sıkıyor,etraf düzen bile iç sık
Sessizlik artık bana huzur değil baskı veriyor.,huzursuz,sessizlik artık bana huzur değil baskı veriyor,sessizlik bana huzur değil baskı veriyor,ses artık ben huzur değil baskı ver
Plan dışı her şey beni tedirgin ediyor.,huzursuz,plan dışı şey beni tedirgin ediyor,plan dışı şey beni tedirgin ediyor,plan dış şey ben tedirgin et
İnsanlarla birlikteyken bile rahatsızım.,huzursuz,i̇nsanlarla birlikteyken bile rahatsızım,i̇nsanlarla birlikteyken rahatsızım,UNK birlik bile rahat
"Derin bir huzursuzluk hissi, tarif edemiyorum.",huzursuz,derin huzursuzluk hissi tarif edemiyorum,derin huzursuzluk hissi tarif edemiyorum,derin huzur hissi tarif et
"Yerimde duramıyorum, içim kıpır kıpır ama kötü anlamda.",huzursuz,yerimde duramıyorum içim kıpır kıpır kötü anlamda,yerimde duramıyorum içim kıpır kıpır kötü anlamda,yer dur içim kıpır kıpır kötü anlam
İnsanlara bir şey anlatmak içimi daha da daraltıyor.,huzursuz,i̇nsanlara şey anlatmak içimi daraltıyor,i̇nsanlara şey anlatmak içimi daraltıyor,UNK şey anla iç daral
Kendi evimde bile güvende hissetmiyorum.,huzursuz,kendi evimde bile güvende hissetmiyorum,kendi evimde güvende hissetmiyorum,kendi ev bile güven hisset
Sürekli üstümde bir baskı hissi var.,huzursuz,sürekli üstümde baskı hissi var,sürekli üstümde baskı hissi var,sürekli üst baskı hissi var
Her şeyi kontrol etmek zorunda hissediyorum.,huzursuz,şeyi kontrol etmek zorunda hissediyorum,şeyi kontrol etmek zorunda hissediyorum,şe kontrol et zor hisset
Çevremdeki insanların ne düşündüğünü takıntı haline getirdim.,huzursuz,çevremdeki insanların düşündüğünü takıntı haline getirdim,çevremdeki insanların düşündüğünü takıntı haline getirdim,çevre insan düşün takıntı hal getir
Sabah kalktığımda içimde bir ağırlık oluyor.,huzursuz,sabah kalktığımda içimde ağırlık oluyor,sabah kalktığımda içimde ağırlık oluyor,sabah kalk içim ağırlık ol
Eşyaların yerini değiştirince bile geriliyorum.,huzursuz,eşyaların yerini değiştirince bile geriliyorum,eşyaların yerini değiştirince geriliyorum,eşya yer değiştiri bile gerile
Küçük şeyler bile kafama takılıyor.,huzursuz,küçük şeyler bile kafama takılıyor,küçük şeyler kafama takılıyor,küçük şey bile kafa takıl
Belirsizlik dayanılmaz hale geliyor.,huzursuz,belirsizlik dayanılmaz hale geliyor,belirsizlik dayanılmaz hale geliyor,belirsiz dayanılmaz hal gel
Sakin kalmak imkânsız gibi.,huzursuz,sakin kalmak imkânsız,sakin kalmak imkânsız,sakin kal imkan
Gözlerim açık ama hiçbir şey görmüyormuşum gibi.,huzursuz,gözlerim açık hiçbir şey görmüyormuşum,gözlerim açık hiçbir şey görmüyormuşum,göz açık hiçbir şey gör
Kalabalıklar beni ciddi anlamda bunaltıyor.,huzursuz,kalabalıklar beni ciddi anlamda bunaltıyor,kalabalıklar beni ciddi anlamda bunaltıyor,kalabalık ben ciddi anlam bunal
Dışarı çıkmak istemiyorum ama evde kalmak da sıkıyor.,huzursuz,dışarı çıkmak istemiyorum evde kalmak sıkıyor,dışarı çıkmak istemiyorum evde kalmak sıkıyor,dışarı çık iste ev kal sık
Derin nefes alsam da rahatlayamıyorum.,huzursuz,derin nefes alsam rahatlayamıyorum,derin nefes alsam rahatlayamıyorum,derin nefes al rahatla
Kendi düşüncelerimden bile huzursuz oluyorum.,huzursuz,kendi düşüncelerimden bile huzursuz oluyorum,kendi düşüncelerimden huzursuz oluyorum,kendi düşünce bile huzur ol
İçimde tanımlayamadığım bir huzursuzluk var.,huzursuz,i̇çimde tanımlayamadığım huzursuzluk var,i̇çimde tanımlayamadığım huzursuzluk var,UNK tanımla huzur var
Sürekli bir karar verme baskısı var üzerimde.,huzursuz,sürekli karar verme baskısı var üzerimde,sürekli karar verme baskısı var üzerimde,sürekli karar ver baskı var üzeri
Sürekli tetikte olmak inanılmaz yorucu.,huzursuz,sürekli tetikte olmak inanılmaz yorucu,sürekli tetikte olmak inanılmaz yorucu,sürekli tetik ol inan yor
Her şey kontrolüm dışında gelişiyor gibi.,huzursuz,şey kontrolüm dışında gelişiyor,şey kontrolüm dışında gelişiyor,şey kontrol dış geliş
Evde yalnız kalınca panik yapıyorum.,huzursuz,evde yalnız kalınca panik yapıyorum,evde yalnız kalınca panik yapıyorum,ev yalnız kalın panik yap
Kendimi sık sık nefes kontrolü yaparken buluyorum.,huzursuz,kendimi sık sık nefes kontrolü yaparken buluyorum,kendimi sık sık nefes kontrolü yaparken buluyorum,kendi sık sık nefes kontrol yap bul
Kalabalık ortamlar mideme ağrılar sokuyor.,huzursuz,kalabalık ortamlar mideme ağrılar sokuyor,kalabalık ortamlar mideme ağrılar sokuyor,kalabalık ortam mide ağrı sok
Gün boyunca diken üstünde gibi hissediyorum.,huzursuz,gün boyunca diken üstünde hissediyorum,gün boyunca diken üstünde hissediyorum,gün boyunca diken üst hisset
Her şey kontrolümden çıkacakmış gibi.,huzursuz,şey kontrolümden çıkacakmış,şey kontrolümden çıkacakmış,şey kontrol çık
Sabah kalkınca bir sebep olmadan kalbim çarpıyor.,huzursuz,sabah kalkınca sebep olmadan kalbim çarpıyor,sabah kalkınca sebep olmadan kalbim çarpıyor,sabah kalk sebep ol kalp çarp
Sanki içimde bir şey eksik ama ne olduğunu bilmiyorum.,huzursuz,sanki içimde şey eksik olduğunu bilmiyorum,sanki içimde şey eksik olduğunu bilmiyorum,sanki içim şey eksik ol bil
